時間戳記,1. 請問您的職業為？,2. 請問您是否有玩過股票的經驗？,3. 請問您是否有興趣玩股票？,4. 請問您是否有意願使用 NewsPortfolio ？,5. 反饋 (e.g. 我希望NewsPortfolio能加入什麼功能)
2020/7/25 下午 4:39:17,學生,否,是,是,無
2020/7/25 下午 5:11:06,資訊業,是,是,是,新聞是一種很容易可以被操控的東西，是否有辦法針對搜索到的訊息做核實我認為很重要。
2020/7/25 下午 5:19:22,學生,否,是,是,目前沒想到
2020/7/25 下午 5:48:50,學生,否,否,否,無
2020/7/25 下午 7:04:00,服務業,否,是,是,曲線走勢示意
2020/7/25 下午 7:31:09,新聞廣告業,否,否,是,目前無
2020/7/25 下午 7:39:06,文教機關,否,否,否,沒聽過news pirtfolio
2020/7/25 下午 7:39:36,學生,是,是,否,加入每人派發一張大立光股票的功能
2020/7/25 下午 7:50:18,資訊業,是,是,是,手機即時訊息
2020/7/25 下午 7:56:32,文教機關,是,是,是,沒使用過，不知道
2020/7/25 下午 8:14:58,學生,是,是,是,不知道
2020/7/25 下午 8:42:31,文教機關,否,否,否,無
2020/7/25 下午 9:37:31,文教機關,否,是,是,給新手使用的方法
2020/7/25 下午 9:45:51,金融業,是,是,是,風險評估
2020/7/25 下午 9:48:39,家庭管理,否,是,是,教学功能
2020/7/25 下午 9:49:40,醫療業,是,是,是,如何判定股票相關新聞是出貨文？
2020/7/25 下午 9:49:58,醫療業,是,否,是,進出場提醒
2020/7/25 下午 9:54:44,文教機關,是,是,是,連續漲的前五支股票
2020/7/25 下午 9:55:12,服務業,是,否,否,潛力股
2020/7/25 下午 9:58:26,文教機關,是,否,是,分析有利投資股
2020/7/25 下午 10:00:56,文教機關,否,是,是,推播通知
2020/7/25 下午 10:03:09,文教機關,是,是,是,無
2020/7/25 下午 10:06:07,建築工程業,是,是,是,office 
2020/7/25 下午 10:10:20,服務業,是,否,否,第4題已填否
2020/7/25 下午 10:21:53,家庭管理,否,否,否,都可以
2020/7/25 下午 10:22:10,文教機關,是,否,否,不懂
2020/7/25 下午 10:24:36,文教機關,是,是,是,大戶進出資訊
2020/7/25 下午 10:26:23,文教機關,否,是,是,無
2020/7/25 下午 10:27:22,金融業,是,是,是,合理價位
2020/7/25 下午 10:27:47,文教機關,是,否,是,無
2020/7/25 下午 10:29:13,文教機關,是,是,是,還沒用過無法提供
2020/7/25 下午 10:29:32,學生,否,是,是,無
2020/7/25 下午 10:33:54,文教機關,否,否,否,初學股票的簡易使用方法。
2020/7/25 下午 10:36:03,資訊業,是,是,是,即時訊息
2020/7/25 下午 10:39:03,文教機關,否,是,是,簡單入手，介面好操作
2020/7/25 下午 10:39:48,金融業,是,否,否,無
2020/7/25 下午 10:42:37,服務業,是,是,是,要有短期、中長期投資
2020/7/25 下午 10:44:26,文教機關,是,是,是,目前還好
2020/7/25 下午 10:55:51,醫療業,是,是,是,連結購買功能
2020/7/25 下午 11:02:54,文教機關,否,否,是,投資組合相關資訊
2020/7/25 下午 11:09:35,服務業,否,是,否,都可以
2020/7/25 下午 11:20:04,文教機關,否,否,是,推薦值得投資的、負社會責任的良知企業
2020/7/25 下午 11:28:09,文教機關,否,否,是,無
2020/7/25 下午 11:51:02,製造業,是,否,否,不用
2020/7/25 下午 11:52:22,製造業,是,否,否,不知
2020/7/25 下午 11:58:48,文教機關,否,是,是,簡單明瞭的訊息 
2020/7/26 上午 12:57:57,服務業,否,是,是,尚未使用
